name,width,height,corner_radius,hole_dia,flange_thickness,flange_opening,flange_max_width,flange_depth,flange_bottom_radius,flange_neck_top_radius,flange_neck_bottom_radius,flange_top_radius,source
Item24 Profile 5 20x20,20,20,2,4.3,1.8,5,10,6.35,3,0.8,0.3,0.83,https://www.item24.com/en-be/profile-5-20x20-natural-44804?supplyUnit=STUECK&category=profile-technology%2Faluminium-profiles&start-download=0&gallery=1
Misumi HFS5-2020, 20,20,1,4.2,2,6,10,6.35,0,0,0,0,https://us.misumi-ec.com/vona2/detail/110302683830/?list=PageCategory&seriesCode=110302683830&tab=drawingAndSpecifications&Page=1
